,content,content_stemmed,id,type,new,table_id,json,label_added,prediction,confidence
10,1. Rohergebnis 2. Abschreibungen a) Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen 3. sonstige betriebliche Aufwendungen 4. sonstige Zinsen und ähnliche Erträge 5. Ergebnis nach Steuern 6. sonstige Steuern Jahresfehlbetrag,rohergebnis abschreib abschreib auf immateriell vermogensgegenstand des anlagevermog und sachanlag sonstig betrieb aufwend sonstig zins und ahnlich ertrag ergebnis nach steu sonstig steu jahresfehlbetrag,221.json_table_3,Gewinn und Verlust Rechnung,"['221', 'json_table_3']",json_table_3,221,2020-07-24 22:03:16.190611,Gewinn und Verlust Rechnung,0.35
11,"A. Anlagevermögen Sachanlagen B. Umlaufvermögen Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks C. Rechnungsabgrenzungsposten PASSIVSEITE A. Eigenkapital I. Gezeichnetes Kapital II. Kapitalrücklage III. Gewinnvortrag IV. Jahresüberschuss B. Rückstellungen C. Verbindlichkeiten",anlagevermog sachanlag umlaufvermog kassenbestand bundesbankguthab guthab bei kreditinstitut und scheck rechnungsabgrenzungspost passivseit eigenkapital gezeichnet kapital kapitalrucklag iii gewinnvortrag jahresuberschuss ruckstell verbind,707.json_table_1,,"['707', 'json_table_1']",json_table_1,707,,Bilanz,0.361
12,"AKTIVA A. ANLAGEVERMÖGEN I. Sachanlagen B. UMLAUFVERMÖGEN I. Forderungen und sonstige
Vermögensgegenstände II. Kassenbestand, Bundesbank-
guthaben, Guthaben bei
Kreditinstituten und Schecks C. RECHNUNGSABGRENZUNGSPOSTEN D. Verlustsonderkonto der Kommanditisten I. Verlustsonderkonto der Kommanditisten SUMME Aktiva PASSIVA A. EIGENKAPITAL I. Kapitalanteile B. RÜCKSTELLUNGEN C. VERBINDLICHKEITEN SUMME Passiva",aktiva anlagevermg sachanlag umlaufvermg forder und sonstigevermogensgegenstand kassenbestand bundesbankguthab guthab beikreditinstitut und scheck rechnungsabgrenzungspost verlustsonderkonto der kommanditist verlustsonderkonto der kommanditist summ aktiva passiva eigenkapital kapitalanteil rckstellung verbind summ passiva,649.json_table_1,,"['649', 'json_table_1']",json_table_1,649,,Bilanz,0.3666666666666667
13,A. Umlaufvermögen Kassenbestand und Guthaben bei Kreditinstituten Passiva A. Eigenkapital I. Gezeichnetes Kapital II. Jahresfehlbetrag B. Rückstellungen sonstige Rückstellungen,umlaufvermog kassenbestand und guthab bei kreditinstitut passiva eigenkapital gezeichnet kapital jahresfehlbetrag ruckstell sonstig ruckstell,885.json_table_2,,"['885', 'json_table_2']",json_table_2,885,,Bilanz,0.3675
14,"A. Umlaufvermögen Bilanzsumme, Summe Aktiva Passiva A. Eigenkapital B. Rückstellungen Bilanzsumme, Summe Passiva",umlaufvermog bilanzsumm summ aktiva passiva eigenkapital ruckstell bilanzsumm summ passiva,32.json_table_1,,"['32', 'json_table_1']",json_table_1,32,,Passiva,0.37
15,"Passiva A. Sonderposten für Zuschüsse und Zulagen B. Rückstellungen C. Verbindlichkeiten Bilanzsumme, Summe Passiva",passiva sonderpost fur zuschuss und zulag ruckstell verbind bilanzsumm summ passiva,864.json_table_2,Passiva,"['864', 'json_table_2']",json_table_2,864,2020-07-26 09:09:43.412063,Passiva,0.37
16,"Passiva A. Sonderposten für Zuschüsse und Zulagen B. Rückstellungen C. Verbindlichkeiten Bilanzsumme, Summe Passiva",passiva sonderpost fur zuschuss und zulag ruckstell verbind bilanzsumm summ passiva,465.json_table_2,,"['465', 'json_table_2']",json_table_2,465,,Passiva,0.37
17,"Passiva A. Sonderposten für Zuschüsse und Zulagen B. Rückstellungen C. Verbindlichkeiten Bilanzsumme, Summe Passiva",passiva sonderpost fur zuschuss und zulag ruckstell verbind bilanzsumm summ passiva,244.json_table_2,Passiva,"['244', 'json_table_2']",json_table_2,244,2020-07-26 09:09:58.115672,Passiva,0.37
18,Bilanzposten Forderungen gegen verbundene Unternehmen sonstige Vermögensgegenstände Summe,bilanzpost forder geg verbund unternehm sonstig vermogensgegenstand summ,113.json_table_3,Forderungen,"['113', 'json_table_3']",json_table_3,113,2020-07-22 19:35:23,Forderungen,0.37
19,Erwarteter Steuersatz Ergebnis vor Ertragsteuern aus fortgeführten Bereichen - Steueraufwand bei Anwendung des Ertragssteuersatzes - Steuersatzänderungen - Tatsächliche und latente Steuern Vorjahre - Steuereffekte aus sonstigen latenten Steuern - Steuereffekte im Zusammenhang mit konzerninternen Ausschüttungen und Veräußerungen - Saldo von sonstigen steuerfreien Erträgen und nicht abzugsfähigen Aufwendungen Steueraufwand gemäß Gesamtergebnisrechnung Effektiver Steuersatz,erwartet steuersatz ergebnis vor ertragsteu aus fortgefuhrt bereich steueraufwand bei anwend des ertragssteuersatz steuersatzander tatsach und latent steu vorjahr steuereffekt aus sonstig latent steu steuereffekt zusammenhang mit konzernintern ausschutt und verauer saldo von sonstig steuerfrei ertrag und nicht abzugsfah aufwend steueraufwand gema gesamtergebnisrechn effektiv steuersatz,803.json_table_61,not relevant,"['803', 'json_table_61']",json_table_61,803,2020-07-26 09:02:36.668496,not relevant,0.37
20,"A. Anlagevermögen Sachanlagen B. Umlaufvermögen 1. Sonstige Vermögensgegenstände 2. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks C. Rechnungsabgrenzungsposten PASSIVSEITE A. Eigenkapital I. Gezeichnetes Kapital II. Kapitalrücklage III. Gewinnvortrag IV. Jahresfehlbetrag (=-; i. Vj. -überschuss) B. Rückstellungen C. Verbindlichkeiten",anlagevermog sachanlag umlaufvermog sonstig vermogensgegenstand kassenbestand bundesbankguthab guthab bei kreditinstitut und scheck rechnungsabgrenzungspost passivseit eigenkapital gezeichnet kapital kapitalrucklag iii gewinnvortrag jahresfehlbetrag uberschuss ruckstell verbind,804.json_table_1,,"['804', 'json_table_1']",json_table_1,804,,Aktiva,0.3765
21,"I. Immaterielle Vermögensgegenstände 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte Summe 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte 3. Geleistete Anzahlungen Summe 3. Geleistete Anzahlungen Summe I. Immaterielle Vermögensgegenstände II. Sachanlagen 1. Grundstücke, grundstücksgleiche Rechte und Bauten Summe 1. Grundstücke, grundstücksgleiche Rechte und Bauten 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe II. Sachanlagen III. Finanzanlagen 1. Anteile an verbundenen Unternehmen Summe 1. Anteile an verbundenen Unternehmen 3. Beteiligungen Summe 3. Beteiligungen Summe III. Finanzanlagen Gesamtsumme",immateriell vermogensgegenstand konzession lizenz und ahnlich recht und wert summ konzession lizenz und ahnlich recht und wert geleistet anzahl summ geleistet anzahl summ immateriell vermogensgegenstand sachanlag grundstuck grundstucksgleich recht und baut summ grundstuck grundstucksgleich recht und baut and anlag betrieb und geschaftsausstatt summ and anlag betrieb und geschaftsausstatt summ sachanlag iii finanzanlag anteil verbund unternehm summ anteil verbund unternehm beteil summ beteil summ iii finanzanlag gesamtsumm,154.json_table_5,,"['154', 'json_table_5']",json_table_5,154,,Entwicklungdes Anlagevermögens,0.38
22,"I. Immaterielle Vermögensgegenstände 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte Summe 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte 3. Geleistete Anzahlungen Summe 3. Geleistete Anzahlungen Summe I. Immaterielle Vermögensgegenstände II. Sachanlagen 1. Grundstücke, grundstücksgleiche Rechte und Bauten Summe 1. Grundstücke, grundstücksgleiche Rechte und Bauten 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe II. Sachanlagen III. Finanzanlagen 1. Anteile an verbundenen Unternehmen Summe 1. Anteile an verbundenen Unternehmen 3. Beteiligungen Summe 3. Beteiligungen Summe III. Finanzanlagen Gesamtsumme",immateriell vermogensgegenstand konzession lizenz und ahnlich recht und wert summ konzession lizenz und ahnlich recht und wert geleistet anzahl summ geleistet anzahl summ immateriell vermogensgegenstand sachanlag grundstuck grundstucksgleich recht und baut summ grundstuck grundstucksgleich recht und baut and anlag betrieb und geschaftsausstatt summ and anlag betrieb und geschaftsausstatt summ sachanlag iii finanzanlag anteil verbund unternehm summ anteil verbund unternehm beteil summ beteil summ iii finanzanlag gesamtsumm,154.json_table_7,,"['154', 'json_table_7']",json_table_7,154,,Entwicklungdes Anlagevermögens,0.38
23,"I. Immaterielle Vermögensgegenstände 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte Summe 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte 3. Geleistete Anzahlungen Summe 3. Geleistete Anzahlungen Summe I. Immaterielle Vermögensgegenstände II. Sachanlagen 1. Grundstücke, grundstücksgleiche Rechte und Bauten Summe 1. Grundstücke, grundstücksgleiche Rechte und Bauten 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe II. Sachanlagen III. Finanzanlagen 1. Anteile an verbundenen Unternehmen Summe 1. Anteile an verbundenen Unternehmen 3. Beteiligungen Summe 3. Beteiligungen Summe III. Finanzanlagen Gesamtsumme",immateriell vermogensgegenstand konzession lizenz und ahnlich recht und wert summ konzession lizenz und ahnlich recht und wert geleistet anzahl summ geleistet anzahl summ immateriell vermogensgegenstand sachanlag grundstuck grundstucksgleich recht und baut summ grundstuck grundstucksgleich recht und baut and anlag betrieb und geschaftsausstatt summ and anlag betrieb und geschaftsausstatt summ sachanlag iii finanzanlag anteil verbund unternehm summ anteil verbund unternehm beteil summ beteil summ iii finanzanlag gesamtsumm,154.json_table_8,,"['154', 'json_table_8']",json_table_8,154,,Entwicklungdes Anlagevermögens,0.38
24,"I. Immaterielle Vermögensgegenstände 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte Summe 1. Konzessionen, Lizenzen und ähnliche Rechte und Werte 3. Geleistete Anzahlungen Summe 3. Geleistete Anzahlungen Summe I. Immaterielle Vermögensgegenstände II. Sachanlagen 1. Grundstücke, grundstücksgleiche Rechte und Bauten Summe 1. Grundstücke, grundstücksgleiche Rechte und Bauten 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe 3. Andere Anlagen, Betriebs- und Geschäftsausstattung Summe II. Sachanlagen III. Finanzanlagen 1. Anteile an verbundenen Unternehmen Summe 1. Anteile an verbundenen Unternehmen 3. Beteiligungen Summe 3. Beteiligungen Summe III. Finanzanlagen Gesamtsumme",immateriell vermogensgegenstand konzession lizenz und ahnlich recht und wert summ konzession lizenz und ahnlich recht und wert geleistet anzahl summ geleistet anzahl summ immateriell vermogensgegenstand sachanlag grundstuck grundstucksgleich recht und baut summ grundstuck grundstucksgleich recht und baut and anlag betrieb und geschaftsausstatt summ and anlag betrieb und geschaftsausstatt summ sachanlag iii finanzanlag anteil verbund unternehm summ anteil verbund unternehm beteil summ beteil summ iii finanzanlag gesamtsumm,154.json_table_6,,"['154', 'json_table_6']",json_table_6,154,,Entwicklungdes Anlagevermögens,0.38
25,Finanzierungskosten aus Wandelschuldverschreibungen Zinsen und ähnliche Aufwendungen nahestehende Unternehmen Zinsaufwand aus steuerlicher Betriebsprüfung Bankgebühren und-provisionen Avalprovisionen Zinsaufwand aus Kontokorrenten Zinsaufwand aus der Aufzinsung langfristiger Rückstellungen Sonstige GESAMT,finanzierungskost aus wandelschuldverschreib zins und ahnlich aufwend nahesteh unternehm zinsaufwand aus steu betriebspruf bankgebuhr undprovision avalprovision zinsaufwand aus kontokorrent zinsaufwand aus der aufzins langfrist ruckstell sonstig gesamt,691.json_table_63,not relevant,"['691', 'json_table_63']",json_table_63,691,2020-07-24 15:06:51.946469,not relevant,0.38
26,Sonstige finanzielle Verpflichtungen aus Miet- und Leasingverträgen Summe,sonstig finanziell verpflicht aus miet und leasingvertrag summ,420.json_table_5,Verbindlichkeiten,"['420', 'json_table_5']",json_table_5,420,2020-07-25 15:12:08.506586,not relevant,0.385
27,"
 
 
 
 Sachanlagen 
 Betriebs- und Geschäfts-
 ausstattung
 Geringwertige Wirtschaftsgüter
 Immaterielle Vermögens- 
 gegenstände 
 Lizenzen
 EDV-Software
 Geschäfts-, Firmenwert
 
 
 
 
",sachanlag betrieb und geschaft ausstatt geringwert wirtschaftsgut immateriell vermog gegenstand lizenz edvsoftwar geschaft firmenwert,381.json_table_6,,"['381', 'json_table_6']",json_table_6,381,,Entwicklungdes Anlagevermögens,0.39
28,"
 
 
 
 
 Sachanlagen 
 Betriebs- und Geschäfts-
 ausstattung
 Geringwertige Wirtschaftsgüter
 Immaterielle Vermögens- 
 gegenstände 
 Lizenzen
 EDV-Software
 Geschäfts-, Firmenwert
 
 
 
 
",sachanlag betrieb und geschaft ausstatt geringwert wirtschaftsgut immateriell vermog gegenstand lizenz edvsoftwar geschaft firmenwert,381.json_table_7,,"['381', 'json_table_7']",json_table_7,381,,Entwicklungdes Anlagevermögens,0.39
29,"
 
 
 
 Sachanlagen 
 Betriebs- und Geschäfts-
 ausstattung
 Immaterielle Vermögens- 
 gegenstände 
 Lizenzen
 EDV-Software
 Geschäfts-, Firmenwert
 
 
 
 
 
 
 
 
 
 Sachanlagen 
 Betriebs- und Geschäfts-
 ausstattung
 Immaterielle Vermögens- 
 gegenstände 
 Lizenzen
 EDV-Software
 Geschäfts-, Firmenwert
 
 
 
 
",sachanlag betrieb und geschaft ausstatt immateriell vermog gegenstand lizenz edvsoftwar geschaft firmenwert sachanlag betrieb und geschaft ausstatt immateriell vermog gegenstand lizenz edvsoftwar geschaft firmenwert,476.json_table_6,,"['476', 'json_table_6']",json_table_6,476,,Entwicklungdes Anlagevermögens,0.39
30,Zinserträge aus steuerlicher Betriebsprüfung Zinsen und ähnliche Erträge nahestehende Unternehmen Sonstige GESAMT,zinsertrag aus steu betriebspruf zins und ahnlich ertrag nahesteh unternehm sonstig gesamt,803.json_table_57,,"['803', 'json_table_57']",json_table_57,803,,not relevant,0.39
31,Zinserträge aus steuerlicher Betriebsprüfung Zinsen und ähnliche Erträge nahestehende Unternehmen Sonstige GESAMT,zinsertrag aus steu betriebspruf zins und ahnlich ertrag nahesteh unternehm sonstig gesamt,900.json_table_46,,"['900', 'json_table_46']",json_table_46,900,,not relevant,0.39
32,Einmalige Gebühren sowie Aufwendungen aus der Bereitstellung von Kreditlinien Zinsen aus Leasingverbindlichkeiten Zinsen und ähnliche Aufwendungen nahestehende Unternehmen Avalprovisionen Finanzierungskosten aus Wandelschuldverschreibungen Sonstige GESAMT,einmal gebuhr sowi aufwend aus der bereitstell von kreditlini zins aus leasingverbind zins und ahnlich aufwend nahesteh unternehm avalprovision finanzierungskost aus wandelschuldverschreib sonstig gesamt,803.json_table_56,,"['803', 'json_table_56']",json_table_56,803,,Gewinn und Verlust Rechnung,0.39
33,Zinserträge aus steuerlicher Betriebsprüfung Zinsen und ähnliche Erträge nahestehende Unternehmen Sonstige GESAMT,zinsertrag aus steu betriebspruf zins und ahnlich ertrag nahesteh unternehm sonstig gesamt,691.json_table_64,,"['691', 'json_table_64']",json_table_64,691,,not relevant,0.39
34,"
 
 
 I. Immaterielle Vermögens- 
 gegenstände 
 
 II. Sachanlagen 
 
 I. + II. 
",immateriell vermog gegenstand sachanlag,7.json_table_3,,"['7', 'json_table_3']",json_table_3,7,,not relevant,0.3905329670329671
35,"
 
 
 I. Immaterielle Vermögens- 
 gegenstände 
 
 II. Sachanlagen 
 
 I. + II. 
",immateriell vermog gegenstand sachanlag,7.json_table_5,,"['7', 'json_table_5']",json_table_5,7,,not relevant,0.3905329670329671
36,"
 
 
 I. Immaterielle Vermögens- 
 gegenstände 
 
 II. Sachanlagen 
 
 I. + II. 
",immateriell vermog gegenstand sachanlag,7.json_table_4,,"['7', 'json_table_4']",json_table_4,7,,not relevant,0.3905329670329671
37,"A. Umlaufvermögen I. Forderungen und sonstige Vermögensgegenstände 1. Forderungen gegen verbundene Unternehmen 2. Forderungen aus Lieferungen und Leistungen 3. sonstige Vermögensgegenstände II. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks PASSIVA A. Eigenkapital I. Gezeichnetes Kapital II. Gewinnvortrag III. Jahresüberschuss B. Rückstellungen 1. Steuerrückstellungen 2. sonstige Rückstellungen",umlaufvermog forder und sonstig vermogensgegenstand forder geg verbund unternehm forder aus liefer und leistung sonstig vermogensgegenstand kassenbestand bundesbankguthab guthab bei kreditinstitut und scheck passiva eigenkapital gezeichnet kapital gewinnvortrag iii jahresuberschuss ruckstell steuerruckstell sonstig ruckstell,297.json_table_2,,"['297', 'json_table_2']",json_table_2,297,,Aktiva,0.39583333333333326
38,"MITARBEITER (INKL. VORSTAND) Gesamt per Ende Dezember KUNDENVERTRÄGE (IN MIO.) Access, Verträge davon Mobile Internet davon Breitband (ADSL, VDSL, FTTH) BILANZ (IN MIO. €) Kurzfristige Vermögenswerte Langfristige Vermögenswerte Eigenkapital Bilanzsumme Eigenkapitalquote",mitarbeit inkl vorstand gesamt per end dezemb kundenvertrg mio access vertrag davon mobil internet davon breitband adsl vdsl ftth bilanz mio kurzfrist vermogenswert langfrist vermogenswert eigenkapital bilanzsumm eigenkapitalquot,803.json_table_4,,"['803', 'json_table_4']",json_table_4,803,,Vermögenswerte,0.4
39,"MITARBEITER (INKL. VORSTAND) Gesamt per Ende Dezember KUNDENVERTRÄGE (IN MIO.) Aktuelle Produktlinien Access, Verträge davon Mobile Internet davon Breitband (ADSL, VDSL, FTTH)3 BILANZ (IN MIO. €) Kurzfristige Vermögenswerte Langfristige Vermögenswerte Eigenkapital Bilanzsumme Eigenkapitalquote",mitarbeit inkl vorstand gesamt per end dezemb kundenvertrg mio aktuell produktlini access vertrag davon mobil internet davon breitband adsl vdsl ftth bilanz mio kurzfrist vermogenswert langfrist vermogenswert eigenkapital bilanzsumm eigenkapitalquot,691.json_table_3,,"['691', 'json_table_3']",json_table_3,691,,Vermögenswerte,0.4
40,"Ausgewiesene Position
 Forderungen gegen verbundene Unternehmen
 Verbindlichkeiten gegenüber
 Gesellschaftern
",ausgewies position forder geg verbund unternehm verbind gegenub gesellschaft,184.json_table_5,not relevant,"['184', 'json_table_5']",json_table_5,184,2020-07-24 21:27:37.345547,Forderungen,0.4
41,"MITARBEITER (INKL. VORSTAND) Gesamt per Ende Dezember KUNDENVERTRÄGE (IN MIO.) Aktuelle Produktlinien Access, Verträge davon Mobile Internet davon Breitband (ADSL, VDSL, FTTH)3 BILANZ (IN MIO. €) Kurzfristige Vermögenswerte Langfristige Vermögenswerte Eigenkapital Bilanzsumme Eigenkapitalquote",mitarbeit inkl vorstand gesamt per end dezemb kundenvertrg mio aktuell produktlini access vertrag davon mobil internet davon breitband adsl vdsl ftth bilanz mio kurzfrist vermogenswert langfrist vermogenswert eigenkapital bilanzsumm eigenkapitalquot,691.json_table_4,,"['691', 'json_table_4']",json_table_4,691,,Vermögenswerte,0.4
42,"MITARBEITER (INKL. VORSTAND) Gesamt per Ende Dezember KUNDENVERTRÄGE (IN MIO.) Access, Verträge davon Mobile Internet davon Breitband (ADSL, VDSL, FTTH) BILANZ (IN MIO. €) Kurzfristige Vermögenswerte Langfristige Vermögenswerte Eigenkapital Bilanzsumme Eigenkapitalquote",mitarbeit inkl vorstand gesamt per end dezemb kundenvertrg mio access vertrag davon mobil internet davon breitband adsl vdsl ftth bilanz mio kurzfrist vermogenswert langfrist vermogenswert eigenkapital bilanzsumm eigenkapitalquot,803.json_table_3,,"['803', 'json_table_3']",json_table_3,803,,Vermögenswerte,0.4
43,"Anlagevermögen Immaterielle Vermögensgegenstände entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten geleistete Anzahlungen Summe immaterielle Vermögensgegenstände Sachanlagen andere Anlagen, Betriebs- und Geschäftsausstattung Summe Sachanlagen Finanzanlagen Anteile an verbundenen Unternehmen Genossenschaftsanteile Summe Finanzanlagen Summe Anlagevermögen",anlagevermog immateriell vermogensgegenstand entgelt erworb konzession gewerb schutzrecht und ahnlich recht und wert sowi lizenz solch recht und wert geleistet anzahl summ immateriell vermogensgegenstand sachanlag and anlag betrieb und geschaftsausstatt summ sachanlag finanzanlag anteil verbund unternehm genossenschaftsanteil summ finanzanlag summ anlagevermog,237.json_table_4,,"['237', 'json_table_4']",json_table_4,237,,Vermögenswerte,0.415
44,"A. Anlagevermögen Sachanlagen B. Umlaufvermögen I. Forderungen und Sonstige Vermögensgegenstände II. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks C. Rechnungsabgrenzungsposten PASSIVSEITE A. Eigenkapital I. Gezeichnetes Kapital II. Kapitalrücklage III. Gewinnvortrag IV. Jahresüberschuss (i. Vj. -fehlbetrag = -) B. Rückstellungen C. Verbindlichkeiten",anlagevermog sachanlag umlaufvermog forder und sonstig vermogensgegenstand kassenbestand bundesbankguthab guthab bei kreditinstitut und scheck rechnungsabgrenzungspost passivseit eigenkapital gezeichnet kapital kapitalrucklag iii gewinnvortrag jahresuberschuss fehlbetrag ruckstell verbind,496.json_table_1,,"['496', 'json_table_1']",json_table_1,496,,Aktiva,0.419
45,"A. Anlagevermögen Sachanlagen B. Umlaufvermögen I. Forderungen und sonstige Vermögensgegenstände II. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks C. Rechnungsabgrenzungsposten PASSIVSEITE A. Eigenkapital I. Gezeichnetes Kapital II. Kapitalrücklage III. Verlustvortrag (= -) IV. Jahresüberschuss (i. Vj. -fehlbetrag = -) B. Rückstellungen C. Verbindlichkeiten",anlagevermog sachanlag umlaufvermog forder und sonstig vermogensgegenstand kassenbestand bundesbankguthab guthab bei kreditinstitut und scheck rechnungsabgrenzungspost passivseit eigenkapital gezeichnet kapital kapitalrucklag iii verlustvortrag jahresuberschuss fehlbetrag ruckstell verbind,427.json_table_1,,"['427', 'json_table_1']",json_table_1,427,,Aktiva,0.419
46,"Forderungen aus Lieferungen 
und Leistungen Sonstige 
Vermögensgegenstände",forder aus liefer und leistung sonstig vermogensgegenstand,403.json_table_3,,"['403', 'json_table_3']",json_table_3,403,,Forderungen,0.42
47,Forderungen aus Lieferungen und Leistungen Sonstige Vermögensgegenstände,forder aus liefer und leistung sonstig vermogensgegenstand,296.json_table_2,,"['296', 'json_table_2']",json_table_2,296,,Forderungen,0.42
48,"
 Verbindlichkeiten
 
 sonstige Verbindlichkeiten
 gegenüber Gesellschaftern Gesamtbetrag Verbindlichkeiten
",verbind sonstig verbind gegenub gesellschaft gesamtbetrag verbind,166.json_table_4,,"['166', 'json_table_4']",json_table_4,166,,Verbindlichkeiten,0.42
49,"Anlagevermögen Immaterielle Vermögensgegenstände entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten Summe immaterielle Vermögensgegenstände Sachanlagen andere Anlagen, Betriebs- und Geschäftsausstattung Summe Sachanlagen Finanzanlagen Anteile an verbundenen Unternehmen Genossenschaftsanteile Summe Finanzanlagen Summe Anlagevermögen",anlagevermog immateriell vermogensgegenstand entgelt erworb konzession gewerb schutzrecht und ahnlich recht und wert sowi lizenz solch recht und wert summ immateriell vermogensgegenstand sachanlag and anlag betrieb und geschaftsausstatt summ sachanlag finanzanlag anteil verbund unternehm genossenschaftsanteil summ finanzanlag summ anlagevermog,578.json_table_5,,"['578', 'json_table_5']",json_table_5,578,,Vermögenswerte,0.425
